City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Tulsa,David L. Moss Criminal Justice Center,OK,143,143,143,Dream Alliance Oklahoma-Tulsa; New Sanctuary Network Tulsa,protest,https://www.facebook.com/events/2153637818067496/,36.1539816,-95.992775,36.1566206,-96.017365,Link
Nashville,Public Square Nashville,TN,708,708,708,general protestors,vigil,https://www.facebook.com/events/2257597847693239/,36.1626638,-86.7816016,36.1666118,-86.7491616,Link
Cookeville,300 E Spring St,TN,52,52,52,Indivisible TN District 6,vigil,https://www.facebook.com/events/362659534451217/,36.162839,-85.5016423,36.162239,-85.5296023,Link
Las Vegas,Henderson Detention Center,NV,,,,General,General,https://www.facebook.com/events/686782291752562/,36.1699412,-115.1398296,36.1682552,-115.1287196,Link
Las Vegas,LD George US Courthouse,NV,200,200,200,Nevada NOW,vigil,https://www.facebook.com/events/438300946753691/,36.1699412,-115.1398296,36.1741872,-115.1701896,Link
Springdale,Murphy Park,AR,210,250,210 to 250,general protestors,vigil,https://www.facebook.com/events/2494691477210655/,36.1867442,-94.1288141,36.1895672,-94.1666741,Link
Siloam Springs,City Park & Gazebo,AR,65,65,65,general protestors,General,https://www.facebook.com/events/387690711856742,36.1881365,-94.5404962,36.1847115,-94.5769562,Link
Boone,Intersection of Highway 105 and Blowing Rock Rd,NC,175,175,175,Watauga NAACP Branch,vigil,https://www.facebook.com/events/704887119962877/,36.216795,-81.6745517,36.22079,-81.6696117,Link
Johnson City,Founders Park,TN,140,140,140,general protestors,vigil,https://www.facebook.com/events/443558283157058/,36.3134397,-82.3534727,36.3128867,-82.3069427,Link
Visalia,,CA,80,100,80 to 100,General,General,https://www.lightsforliberty.org/,36.3302284,-119.2920585,36.3344174,-119.3272285,Link
Reidsville,Rockingham County Courthouse,NC,20,20,20,general protestors,vigil,https://www.facebook.com/events/373932729921133/,36.3548586,-79.6644747,36.3581486,-79.6668447,Link
Taos,Taos Plaza,NM,200,200,200,general protestors,protest,https://www.facebook.com/events/538784689987886/,36.4072485,-105.5730665,36.4085365,-105.5623665,Link
Clarksville,McGregor Park,TN,100,100,100,Clarksville Indivisible,vigil,https://www.facebook.com/events/708609506236439/,36.5297706,-87.3594528,36.5302146,-87.3655928,Link
Monterey,Monterey Waterfront Park,CA,158,158,158,general protestors,General,https://www.facebook.com/events/1133551970186175/,36.6002378,-121.8946761,36.6041818,-121.9348661,Link
Fresno,River Park,CA,200,300,200 to 300,general protestors,General,https://www.facebook.com/events/1171229886394047/,36.7377981,-119.7871247,36.7420891,-119.8080247,Link
Norfolk,Federal building,VA,24,24,24,general protestors,protest,https://www.facebook.com/events/503960323677859/?active_tab=about,36.8507689,-76.2858726,36.8495259,-76.2927226,Link
Norfolk,Town Point Park stage,VA,50,50,50,general protestors,vigil,https://www.facebook.com/events/202527620686121/,36.8507689,-76.2858726,36.8484299,-76.2897926,Link
Virginia  Beach,Town Center Fountain,VA,53,53,53,Indivisible757,rally ,https://www.facebook.com/events/587974045062302/?active_tab=discussion,36.8529263,-75.977985,36.8489823,-76.016685,Link
Big Stone Gap,Miners Park,VA,,,,Southern Appalachian Mountain Stewards; The STAY Project,vigil,https://www.facebook.com/events/2399214850404349/,36.8586404,-82.7832489,36.8576244,-82.7586789,Link
Bowling Green,William H. Natcher Federal Courthouse,KY,,,,general protestors,General,https://www.wbko.com/content/news/Lights-for-Liberty-Candlelight-Vigil-512666921.html,36.9685219,-86.4808043,36.9647619,-86.5195343,Link
Santa Cruz,"Superior Court of California, County of Santa Cruz",CA,461,461,461,Santa Cruz Indivisible; Santa Cruz Women's March,General,https://www.lightsforliberty.org/,36.9741171,-122.0307963,36.9788151,-122.0175363,Link
Newport News,bnear Love Newport News sign in City Center,VA,30,30,30,general protestors,vigil,https://www.facebook.com/events/377952753075055/,37.0870821,-76.4730122,37.0864301,-76.4869522,Link
St. George,Vernon Worthen Park,UT,71,71,71,general protestors,vigil,https://www.facebook.com/events/2318580695070506/,37.0965278,-113.5684164,37.0964408,-113.6009564,Link
Morgan Hill,Monterey Rd.,CA,61,61,61,general protestors,General,https://www.facebook.com/events/896054937394049/,37.1305012,-121.6543901,37.1273462,-121.6374401,Link
Williamsburg,county courthouse,VA,126,126,126,Williamsburg JCC Indivisible,vigil,https://www.facebook.com/events/318449919103863,37.2707022,-76.7074571,37.2658932,-76.7050071,Link
Roanoke,Unitarian Universalist Church of Roanoke,VA,92,92,92,Roanoke Indivisible Public Page; Women’s March on Roanoke,vigil,https://www.facebook.com/events/2245269945734484/?,37.2709704,-79.9414266,37.2704404,-79.9068466,Link
Durango,Buckley Park,CO,50,50,50,Durango Rapid Response Community Defense Network; Durango Food Not Bombs; Our Revolution Durango; Dirty Hands Collective; Democratic Socialists of America - La Plata County,vigil,https://www.facebook.com/events/2369578946497027,37.27528,-107.8800667,37.272788,-107.9019667,Link
Ullin,Tri County Detention Center,IL,27,27,27,General,General,https://www.facebook.com/events/412830499314047/,37.2769948,-89.1834113,37.2800918,-89.2079013,Link
Farmville,Wilcks Lakes Public Area,VA,72,72,72,general protestors,vigil,https://www.facebook.com/events/927549884244326/,37.3020965,-78.3919401,37.2977665,-78.3953601,Link
