Protest,g_lat,g_lon
LFL,39.744655,-75.5483909
LFL,39.7589478,-84.1916069
LFL,39.768403,-86.158068
LFL,39.8916537,-105.7630624
LFL,39.9167783,-75.387693
LFL,39.9525839,-75.1652215
LFL,39.9525839,-75.1652215
LFL,39.9606643,-75.6054882
LFL,39.9935959,-105.0897058
LFL,40.0149856,-105.2705456
LFL,40.0325817,-75.6274583
LFL,40.0378755,-76.3055144
LFL,40.1105875,-88.2072697
LFL,40.1707443,-74.0274216
LFL,40.2010241,-77.2002745
LFL,40.2353963,-79.4703885
LFL,40.3014581,-79.5389289
LFL,40.3101063,-75.1298939
LFL,40.3539926,-75.3048982
LFL,40.3572976,-74.6672226
LFL,40.3892726,-74.7618284
LFL,40.4406248,-79.9958864
LFL,40.4470377,-75.9663221
LFL,40.4842027,-88.9936873
LFL,40.4842027,-88.9936873
LFL,40.4862157,-74.4518188
LFL,40.5431598,-74.3632049
LFL,40.5492265,-82.8274014
LFL,40.5852602,-105.084423
LFL,40.5865396,-122.3916754
LFL,40.5981867,-124.1572756
LFL,40.6214551,-79.1525349
LFL,40.6639916,-74.2107006
LFL,40.6936488,-89.5889864
LFL,40.6953437,-80.3047846
LFL,40.7127753,-74.0059728
LFL,40.7127753,-74.0059728
LFL,40.7127753,-74.0059728
LFL,40.7177545,-74.0431435
LFL,40.7267682,-73.6342954
LFL,40.735657,-74.1723667
LFL,40.742551,-84.1052256
LFL,40.7439905,-74.0323626
LFL,40.7607793,-111.8910474
LFL,40.7612957,-73.7330753
LFL,40.7659783,-73.019343
LFL,40.7808398,-99.7415045
LFL,40.7933949,-77.8600012
LFL,40.7967667,-74.4815438
LFL,40.8020712,-124.1636729
LFL,40.8050565,-81.935143
LFL,40.805378,-74.2037566
LFL,40.8076529,-91.1128901
LFL,40.813616,-96.7025955
LFL,40.8259007,-74.2090053
LFL,40.826489,-74.1068091
LFL,40.8269602,-74.2458379
LFL,40.8614887,-73.9881942
LFL,40.8681539,-73.425676
LFL,40.8706269,-74.911853
LFL,40.8932469,-74.0116536
LFL,40.9167654,-74.171811
LFL,40.9170435,-72.6620402
LFL,40.9300943,-74.4872422
LFL,40.9478158,-90.3712395
LFL,40.9645293,-76.8844101
LFL,40.9867609,-75.1946248
LFL,40.9978773,-72.2925819
LFL,41.0076114,-91.9636914
LFL,41.0262417,-73.6281964
LFL,41.0339862,-73.7629097
LFL,41.0534302,-73.5387341
LFL,41.079273,-85.1393513
LFL,41.0887073,-74.013473
LFL,41.0887073,-74.013473
LFL,41.0997803,-80.6495194
LFL,41.1333371,-73.7924152
LFL,41.1408363,-73.2612615
LFL,41.1595399,-73.764855
LFL,41.2147851,-79.3853218
LFL,41.223,-111.9738304
LFL,41.2270025,-80.2397852
LFL,41.2306979,-73.064036
LFL,41.2565369,-95.9345034
LFL,41.2834704,-70.099451
LFL,41.3045399,-73.392898
LFL,41.322316,-74.8023882
LFL,41.3436554,-86.3097278
LFL,41.3712283,-73.4139621
LFL,41.3838782,-72.9026064
LFL,41.3890052,-70.5133599
LFL,41.4020382,-74.3243191
