CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Logansport,Near Logansport Farmers Market,IN,US,6/30/2018,48,48,48,Families Belong Together,https://act.moveon.org/event/families-belong-together/20481/signup/?source=&s=,https://twitter.com/FireRokita/status/1013191789371633664,,40.7544843,-86.3566659,40.7550903,-86.3610899,Link
Long Beach,Cesar Chavez Park to Glenn Anderson Federal building,CA,US,6/30/2018,1300,1300,"1,300",Families Belong Together,https://act.moveon.org/event/families-belong-together/20127/signup/?source=&s=,https://www.presstelegram.com/2018/06/30/1300-march-against-separating-immigrant-families-in-long-beach/,,33.7700504,-118.1937395,33.7658264,-118.1951185,Link
Longmont,,CO,US,6/30/2018,100,100,100,Families Belong Together,http://www.dailycamera.com/boulder-county-news/ci_31979785/boulder-county-demonstrators-decry-trump-administration-immigration-policies?source=mostpopular,https://vimeo.com/277843075,,40.1672068,-105.1019275,40.1700348,-105.0985485,Link
Longview,Heritage Plaza,TX,US,6/30/2018,64,64,64,Families Belong Together,https://act.moveon.org/event/families-belong-together/20325/signup/?source=&s=,https://www.facebook.com/events/187659578562500/,,32.5007037,-94.7404891,32.5028057,-94.7376651,Link
Longview,Corner of 30th and Ocean Beach Hwy,WA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20231/signup/?source=&s=,,,46.1381676,-122.9381672,46.1367336,-122.9349072,Link
Los Angeles,Downtown,CA,US,6/30/2018,75000,75000,"75,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19831/signup/?source=&s=,https://deadline.com/2018/06/families-belong-together-immigration-protest-rally-john-legend-chrissy-teigen-laura-dern-lin-manuel-miranda-kerry-washington-america-ferrera-donald-trump-1202420138/,,34.0522342,-118.2436849,34.0499332,-118.2474759,Link
Louisville,steps of Metro Hall,KY,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20117/signup/?source=&s=,https://www.courier-journal.com/story/news/local/2018/06/30/families-belong-together-louisville-immigration-protest/741211002/,,38.2526647,-85.7584557,38.2506467,-85.7601477,Link
Louisville,ICE offices on Seventh Street,KY,US,6/30/2018,200,200,200,Families Belong Together,https://www.courier-journal.com/story/news/local/2018/06/30/families-belong-together-louisville-immigration-protest/741211002/,,,38.2526647,-85.7584557,38.2569377,-85.7589007,Link
Lubbock,Tim Cole Statue Memorial Park,TX,US,6/30/2018,100,100,100,Families Belong Together,https://act.moveon.org/event/families-belong-together/20283/signup/?source=&s=,http://www.kcbd.com/story/38549248/lubbock-democrats-lead-families-belong-together-rally-in-tim-cole-memorial-park,,33.6927845,-101.6157773,33.6908835,-101.6121983,Link
Ludington,Rotary Park,MI,US,6/30/2018,150,150,150,Families Belong Together,https://act.moveon.org/event/families-belong-together/20583/signup/?source=&s=,http://www.shorelinemedia.net/ludington_daily_news/standing-together/article_0486f3e4-7e0c-11e8-80f1-fb5ab9f2f20f.html,,43.9552825,-86.4525831,43.9526955,-86.4522751,Link
Lufkin,Angelina County Courthouse,TX,US,6/30/2018,24,24,24,Families Belong Together,https://act.moveon.org/event/families-belong-together/20233/signup/?source=&s=,http://lufkindailynews.com/news/local/article_83e0f6ec-b4f1-547e-8898-22fe7b4d8028.html,,31.2704698,-94.645035,31.2728108,-94.648542,Link
Lumpkin,Stewart Detention Center,GA,US,6/30/2018,51,51,51,Families Belong Together,https://www.facebook.com/events/1923091511042482/,,,32.0509895,-84.7990901,32.0528165,-84.7950901,Link
Lunenburg,Outside the Lunenburg Town Hall 17 Main Street,MA,US,6/30/2018,250,300,250 to 300,Families Belong Together,https://act.moveon.org/event/families-belong-together/19905/signup/?source=&s=,https://www.facebook.com/w.ward.clark/posts/10156464377442152,,42.5945273,-71.7245035,42.5926403,-71.7264695,Link
Machias,Lee Pellon Center parking lot across from Helens,ME,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20438/signup/?source=&s=,,,44.7150789,-67.461376,44.7164229,-67.458335,Link
